LOB,CoverageCode,CoverageName,VariableCode,VariableName
BOPLine,BOPEmpBenefits,Employee Benefits Liability,BOPEmpBenRetroDate,Retroactive Date
BOPLine,BOPEmpBenefits,Employee Benefits Liability,BOPEmpBenEachEmpDed,Employees Benefits Each Employee Deductible
BOPLine,BOPEmpBenefits,Employee Benefits Liability,BOPEmpBenEachEmpLim,Employees Benefits Each Employee Limit
BOPLine,BOPPersPropOffPrem,Personal Property Off Premises,BOPPerPropOffPremLim,Off Premises Personal Property
BOPLine,BOPBusIncPayrollCov,Business Income - Ordinary Payroll,BusIncomeOrdPayroll,Business Income - Ordinary Payroll
BOPLine,BOPTenantFireCov,Tenants Fire Liability,BOPTenantsFireLiabBaseLimit,Tenants Fire Liability Limit
BOPLine,BOPLiquorRemoveExc,Liquor Liability - Remove Exclusion,NA,NA
BOPLine,BOPDesigPremProj,Designated Premises or Project Limitation,NA,NA
BOPLine,BOPOutSignCov,Outdoor Signs,BOPOutdoorSignLim,Outdoor Sign Limit
BOPLine,BOPBusIncDepPrpCov,Business Income - Dependent Property,BOPBIDepPropLim,Bus. Income-Dependent Prop. Limit
BOPLine,BOPHearingAidCov,Hearing Aid / Optician Liability,BOPHearingAidSales,Gross Sales
BOPLine,BOPPersonalPropCov,Business Personal Property,BOPPersonalPropCoin,Coinsurance
BOPLine,BOPPersonalPropCov,Business Personal Property,BOPBPPValuation,Valuation Method
BOPLine,BOPPersonalPropCov,Business Personal Property,BOPBPPBldgLim,Business Personal Property Limit
BOPLine,BOPY2KLimitedCov,Computer Limited Liability Coverage,NA,NA
BOPLine,BOPFoodContamCov,Food Contamination Coverage,BOPFoodContamAdvLim,Food Contamination Adv. Limit
BOPLine,BOPFoodContamCov,Food Contamination Coverage,BOPFoodContamLim,Food Contamination Limit
BOPLine,BOPElectricalSchedCov,Electrical Equipment - Scheduled,BOPElectricalSchedLimit,Electrical Equipment - Scheduled Limit
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectWater,Water Supply
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectComm,Communications (not O/H lines)
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectPowerOH,Power (inc O/H lines)
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectLim,Direct Loss Limit
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectPower,Power (not O/H lines)
BOPLine,BOPUtilDirectCov,Utilities - Direct Damage,BOPUtilDirectCommOH,Communications (inc O/H lines)
BOPLine,BOPToolsInstallUnschedCov,Contractors Tools/Installation,BOPToolsBlanketLim,Contractors Tools Blanket
BOPLine,BOPToolsInstallUnschedCov,Contractors Tools/Installation,BOPToolsNonOwnedLim,Contractors NonOwned Tools
BOPLine,BOPToolsInstallUnschedCov,Contractors Tools/Installation,BOPInstallationLim,PerJob/All Jobs Limit
BOPLine,BOPToolsInstallUnschedCov,Contractors Tools/Installation,BOPToolsEmployees,Contractors Employees Tools
BOPLine,BOPSelfStorCov,Self Storage Coverage,NA,NA
BOPLine,BOPBusIncExtCov,Business Income - Extended Period,BusIncomeExtended,Business Income - Extended Period
BOPLine,BOPPrinterCov,Printers Errors and Omissions,BOPPrinterSales,Gross Sales
BOPLine,BOPNewAcquiredOrgCov,Newly Acquired Organization Coverage,NA,NA
BOPLine,BOPMALeadPoisonCov,MA - Lead Poisoning,NA,NA
BOPLine,BOPPersAdvertInj,Personal and Advertising Injury,NA,NA
BOPLine,BOPMineSubCov,Mine Subsidence,BOPMineSubLim,Mine Subsidence Limit
BOPLine,BOPCondoAssnCov,Condo Association Coverage,NA,NA
BOPLine,BOPTerrorismAllExcl,Exclude Cert/NonCert Acts of Terror,NA,NA
BOPLine,BOPPollutionCov,Pollution - Limited Liability Extension,BOPPollutionLim,Limited Pollution Liability Agg Limit
BOPLine,BOPCert_BioChemExcl,Exclude Cert Acts+BioChem Terror,NA,NA
GLLine,ExcludeStreetsRoadsBridges,"Exclude - Streets, Roads, Bridges",NA,NA
GLLine,GLPollutionShortTermCov,Short Term Pollution Coverage,NamedPerilsOnly,Named Perils Only
GLLine,GLDeductible,GL Deductible,GLBIDeductible,Deductible - BI
GLLine,GLDeductible,GL Deductible,GLCSLDeductible,Deductible - CSD
GLLine,GLDeductible,GL Deductible,ClaimBasis,Deductible Basis
GLLine,GLDeductible,GL Deductible,GLPDDeductible,Deductible - PD
GLLine,GLCancellationEarlierNotice,Cancellation - Earlier Notice,CancellationNotice,Cancellation Notice - Days
GLLine,ExcludePollutionXHeatHostileFire,Exclude Pollution - Except Heating Equip & Hostile Fire,NA,NA
GLLine,ExcludeRiotCivilCommotion,Exclude - Riot or Civil Unrest,NA,NA
GLLine,ExcludeProdCompOps,Exclude - Products / Completed Ops,NA,NA
GLLine,GLCGLCov,General Liability,CGLProdCompOpBIAgg,Products/Comp. Ops BI Agg
GLLine,GLCGLCov,General Liability,GLCGLAggLimit,Aggregate Limit
GLLine,GLCGLCov,General Liability,GLCGLBILimit,Bodily Injury Occurrence Limit
GLLine,GLCGLCov,General Liability,GLCGLRentedPropLimit,Damage to Rented Premises
GLLine,GLCGLCov,General Liability,GLCGLPDLimit,Property Damage Occurrence Limit
GLLine,GLCGLCov,General Liability,GLCGLMedPayLimit,Medical Payments per person
GLLine,GLCGLCov,General Liability,GLCGLPDAggLimit,Property Damage Aggregate Limit
GLLine,GLCGLCov,General Liability,GLCGLOccLimit,Occurrence Limit
GLLine,GLCGLCov,General Liability,GLCGLPersAdLimit,Personal & Advertising Injury
GLLine,GLCGLCov,General Liability,CGLProdCompOpsPDAgg,Products/Comp. Ops PD Agg
GLLine,GLCGLCov,General Liability,CGLProductsAggLim,Products/Comp.Ops Aggregate
GLLine,GLCGLCov,General Liability,GLCGLBIAggLimit,Bodily Injury Aggregate Limit
GLLine,XCUHazardsAllowed,XCU Hazards Allowed,XCULocationOperation,XCU Site
GLLine,XCUHazardsAllowed,XCU Hazards Allowed,XCUHazard,Permitted Hazard Description
GLLine,ExcludeDamageRentedPremises,Exclude - Damage to Rented Premises,NA,NA
GLLine,ExcludeLawEnforcement,Exclude - Law Enforcement,NA,NA
GLLine,ExcludeDesigPremises,Exclude Designated Premises,DesigPremises,Designated Premises
GLLine,ExcludeDamageSubContractorWork,Exclude - Damage to Subcontractors Work,NA,NA
GLLine,ExcludeProfLiabContractor,Exclude Prof Liab - Contractors,NA,NA
GLLine,ExcludeAbuseMolestation,Exclude - Abuse or Molestation,NA,NA
GLLine,AggLimitsLocationProject,Aggregate Limits by Location/Project,AggLimitApplicability,Aggregate Limit Applicability
GLLine,AggLimitsLocationProject,Aggregate Limits by Location/Project,AggLimitLocProjectDescription,Location / Project Description
GLLine,ExcludeFungi,Exclude - Fungi or Bacteria,NA,NA
GLLine,ExcludePollutionAbsolute,Exclude Pollution - Absolute,NA,NA
GLLine,ExcludeProfLiabWebDesign,Exclude Prof Liab - Web Site Design,NA,NA
GLLine,ProductWithdrawalLtd,Product Withdrawal - Limited,ProdWithdrawAgg,Aggregate Limit
GLLine,ProductWithdrawalLtd,Product Withdrawal - Limited,ProductWithdrawPercent,Participating Percent
GLLine,ProductWithdrawalLtd,Product Withdrawal - Limited,ProductWithdrawCutOffDate,Cut Off Date
GLLine,ProductWithdrawalLtd,Product Withdrawal - Limited,ProductWithdrawDeduct,Deductible
GLLine,ClaimsMadeSupplementalRptng,Claims Made - Supplemental Reporting,SupplementalReportingType,Type of Supplemental Reporting
GLLine,ExcludeY2KCompAndElecProbSchedule,Exclude Y2K Computer Related And Other Electronic Problems - Excl of Specd Covs For Designate Products Or Completed Ops,NA,NA
GLLine,GLPollutionDesignatedCov,Designated Pollutants,DesignatedPollutants,Designated Pollutants
GLLine,AmendExtRepPerdSpecLocSchedule,Amendment of Section V - Extended Reporting Periods For Specific Locations,NA,NA
GLLine,GLAddInjuryLeasedWorkers,Coverage for Injury to Leased Workers,NA,NA
GLLine,ExcludePersAdvrtInjury,Exclude - Personal & Advertising Injury,NA,NA
GLLine,ExcludeEOInternetSrvProvider,Exclude E&O - Internet Service Provider,NA,NA
GLLine,ExcludeIntercompanyProducts,Exclude - Intercompany Products Suits,NA,NA
GLLine,GLTerritory,Territory - Redefined,TerritoryDefinition,Territory Definition
GLLine,GLTerritory,Territory - Redefined,NamedCountries,Named Countries
GLLine,ExcludeEmployeesAsInsureds,Exclude Employees as Insureds,NA,NA
GLLine,GLArbitrationCond,Arbitration,GLArbitrationType,Arbitration Type
GLLine,ExludeDesigSiteOpsSubContractWork,Exclude Designated Site/Ops - Damage to Subcontractors Work,DesigSiteOpsDescription,Description
GLLine,ExludeDesigSiteOpsSubContractWork,Exclude Designated Site/Ops - Damage to Subcontractors Work,DesignateSiteOps,Designate Site or Ops
GLLine,GLContractualLiabRR,Contractual Liability - Railroads,GLContractualLiabRRDescription,Description
GLLine,GLLiquorEndorsement,Liquor Liability Endorsement,GLLiquorEventDesc,Event Description
GLLine,GLLiquorEndorsement,Liquor Liability Endorsement,GLLiquorEvent,Event Coverage Only
GLLine,ExcludeY2KDesignated,Exclude Y2K Designated Exposure,ExcludeY2KPersAdverInj,Exclude Personal & Advertising Injury
GLLine,ExcludeY2KDesignated,Exclude Y2K Designated Exposure,ExcludeY2KBI,Exclude BI
GLLine,ExcludeY2KDesignated,Exclude Y2K Designated Exposure,ExcludeY2KPD,Exclude PD
GLLine,ExcludeY2KDesignated,Exclude Y2K Designated Exposure,ExcludedDescription,Description
GLLine,ExcludeY2KDesignated,Exclude Y2K Designated Exposure,ExcludeExposureType,Excluded Exposure Type
GLLine,GLUndergroundResourceCov,Underground Resources And Equip Coverage,GLUndergroundResourceLimit,Underground Resource Aggregate Limit
GLLine,ExcludeProfLiabComputingSrvc,Exclude Prof Liab - Computing Services,NA,NA
GLLine,GLVendorsExcess,Vendors Excess Provision,NA,NA
GLLine,ExcludeY2KOptions,Exclude Y2K Exposure,ExcludeY2KExposureType,Y2K Exclusion Type
GLLine,ExcludeDesigProfService,Exclude Designated Professional Service,ExcludedService,Excluded Service
GLLine,ExcludeERPL,Exclude Employment Related Practices,NA,NA
GLLine,ExcludeEOTestConsult,Exclude E&O - Testing / Consulting,NA,NA
GLLine,XCUSpecified,XCU - Specified,XCULocOpsHazBasis,XCU Locations/Ops/Hazard/Basis
GLLine,Y2KLimitedCov,Y2K/Computer - Limited,Y2KPersAdvrtInjuryLimit,Personal & Advertising Injury Limit
GLLine,Y2KLimitedCov,Y2K/Computer - Limited,Y2KDescription,Description of Operations
GLLine,Y2KLimitedCov,Y2K/Computer - Limited,Y2KBILimit,BI Limit
GLLine,Y2KLimitedCov,Y2K/Computer - Limited,Y2KPDLimit,PD Limit
GLLine,ExcludePersAdvrtInjuryLawyer,Exclude - Personal & Advertising Injury - Lawyers,NA,NA
GLLine,GLLawnCare,Lawn Care Services,NA,NA
GLLine,ExcludeDesigOperations,Exclude Designated Operations,ExcludedOp,Excluded Operation
GLLine,ExcludeDesigOperations,Exclude Designated Operations,DesigLocation,Location
GLLine,ExcludeEOTelecommSrvcProvider,Exclude E&O -Telecomm Service Provider,NA,NA
GLLine,GLElectronicDataLiability,Electronic Data Liability,GLElectronicDataLimit,Electronic Data Limit
GLLine,GLWaiveImmunity,Waiver of Immunity,ImmunityType,Immunity Type
GLLine,ExcludeFinancialServices,Exclude - Financial Services,NA,NA
GLLine,ExcludeDesigWrapUpOps,Exclude Designated Wrap Up Operations,ExcludedWrapUpOps,Excluded Operation
GLLine,ExcludeDesigWrapUpOps,Exclude Designated Wrap Up Operations,WrapUpLoc,Wrap Up
GLLine,ExcludeProducts,Exclude Designated Products,ExcludedProduct,Excluded Product
GLLine,GLInsuredContractDefinition,Amend Insured Contract Definition,NA,NA
GLLine,PollutionBroadLimited,Pollution Coverage,PollutionSubLimit,Pollution Sub Limit
GLLine,PollutionBroadLimited,Pollution Coverage,PollutionLimitType,Pollution Limit
GLLine,LimitCovPremiseProject,Limit Coverage to Designated Premises/Projects,DesignatePremisesProject,Designated Premises or Projects
GLLine,GLLimitedPAandInjuryCov,Ltd Contractual Liab for Personal and Advertising,GLLimitedPAandInjuryCovDescription,Description
GLLine,GLEmpBenefitsLiabilityCov,Employee Benefits Liability,GLEmpBenefitsAggLimit,Aggregate Limit
GLLine,GLEmpBenefitsLiabilityCov,Employee Benefits Liability,GLEmpBenefitsLiabDeduct,Deductible
GLLine,GLEmpBenefitsLiabilityCov,Employee Benefits Liability,GLEmpBenefitsPerEmpLimit,Per Employee Limit
GLLine,GLEmpBenefitsLiabilityCov,Employee Benefits Liability,GLEmpBenefitsLiabilityCovRetroactiveDate,Retroactive Date
GLLine,AmendExtRepPerdSpecProdWorkSchedule,Amendment of Section V - Extended Reporting Periods For Specific Products or Work,NA,NA
GLLine,GLGovSubdivisions,Governmental Subdivisions,NA,NA
GLLine,GLWaiveSubrogation,Waiver of Subrogation,GLWaiverDescription,Waiver Description
GLLine,AmendExtRepPerdSpecAccidSchedule,Amendment of Section V - Extended Reporting Periods For Specific Accidents,NA,NA
GLLine,ExcludeProfLiabContractorLimited,"Exclude Prof Liab - Contractors, Limited",NA,NA
GLLine,GLLtdFungiBacteriaCov,Limited Fungi or Bacteria Coverage,GLLitdFungiBacteriaLimit,Fungi or Bacteria Limit
GLLine,GLAddCondoCov,Condominiums,NA,NA
GLLine,ExcludeDesigAccProdLocClaimsMade,"Exclude Designated Accident, Product/Work or Location",ProdWorkDateType,Product / Work Date Type
GLLine,ExcludeDesigAccProdLocClaimsMade,"Exclude Designated Accident, Product/Work or Location",ExcludeTypeAccLocProd,Focus of Exclusion
GLLine,ExcludeDesigAccProdLocClaimsMade,"Exclude Designated Accident, Product/Work or Location",ProdWorkDate,Product / Work Cutoff Date
GLLine,ExcludeDesigAccProdLocClaimsMade,"Exclude Designated Accident, Product/Work or Location",ExcludeDescription,Description
GLLine,ExcludeDesigAccProdLocClaimsMade,"Exclude Designated Accident, Product/Work or Location",ExcludedLocAddr,Location / Address
GLLine,ExcludeProfLiabEDP,Exclude Prof Liab - Data Processing,NA,NA
GLLine,ExcludeDesigWork,Exclude Designated Work,ExcludedWork,Excluded Work
GLLine,ExcludeVolunteers,Exclude Volunteer Workers,NA,NA
GLLine,ExcludeNewEntities,Exclude - New Entities,NA,NA
GLLine,ExcludePollutionXHostileFire,Exclude Pollution - Except Hostile Fire,NA,NA
GLLine,ExcludeExteriorInsulation,Exclude - Exterior Insulation & Finish Systems,NA,NA
GLLine,ExludeXCULocationHazard,Exclude Designated XCU Location / Operation,XCULocOps,Designate Site or Ops
GLLine,ExludeXCULocationHazard,Exclude Designated XCU Location / Operation,XCUHazardDesc,Description
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngProductDate,Product - Date
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptAccDate,Accident - Date
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngProductWorkDescription,Product/Work - Description
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtendedRptType,Extended Reporting Focus
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngProductWorkDateType,Product/Work Date Type
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngLocationDescription,Location - Description
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptAccidentLocation,Accident-Location
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngLocationAddress,Location - Address
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngLocationName,Location - Name
GLLine,ClaimsMadeExtendedSpecificRpting,Extended Reporting - Specific,ExtRptngAccidentDescription,Accident - Description
GLLine,GLAmendLiquorLiability,Amend Liquor Liability,NA,NA
GLLine,GLPestHerbicideApplicatorSchedule,Pesticide Or Herbicide Applicator Coverage,NA,NA
GLLine,GLContractLiabilityLimitation,Contract Liability Limitation,NA,NA
GLLine,ExcludeUGResourcesEquip,Exclude - UG Resources or Equipment,NA,NA
GLLine,ExcludeFiduciaryLiab,Exclude - Fiduciary Liability,NA,NA
GLLine,ExcludeAthleticParticipant,Exclude - Athletic or Sports Participants,AthleticParticipantDesc,Description of Sports Participation
GLLine,ExcludeEOConstructionMgt,Exclude E&O - Construction Mgt,NA,NA
WRBGPolicyLine_WRBGeneralLiabilityLine,WGLExcAdditionalTreeLotsAndFarms,null,WGLExcAdditionalTreeLotsAndFarmsManPrem,Manual Premium
CR7Line,CR7CCSafeDepositoryLossOfCustomersPropertyInSafeDe,Safe Depository - Loss Of Customers' Property - In Safe Deposit Boxes,NA,NA
CR7Line,CR7GFFAddFaithfulPerformanceOfDutyCovForSpecifiedG,Add Faithful Performance Of Duty Coverage For Specified Government Employees Or Positions,NA,NA
CR7Line,CR7GCExtendDefinitionOfPremisesToIncludePortionOfG,Extend Definition Of Premises To Include Portion Of Grounds Enclosed By Fence Or Wall,NA,NA
CR7Line,CR7GFFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7VaryingDedApplies70,Varying Deductible Applies
CR7Line,CR7GFFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7Limit344,Limit
CR7Line,CR7GFFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7Ded334,Deductible
CR7Line,CR7CCIncreaseLimitOfInsPerGuest,Increase Limit Of Insurance Per Guest,NA,NA
CR7Line,CR7CFFBanksForCooperativesAndFedIntermediateCredit,Banks For Cooperatives And Federal Intermediate Credit Banks,NA,NA
CR7Line,CR7GFFIncludeStudentsAsEmpls,Include Students As Employees,NA,NA
CR7Line,CR7GFIncludeCompSoftwareContractorsAsEmpls,Include Computer Software Contractors As Employees,NA,NA
CR7Line,CR7IncludeRetroDateForNamedInsured,Include Retroactive Date,CR7EntityAssetsOrLiabilities,"Entity(ies), Assets Or Liabilities:"
CR7Line,CR7IncludeRetroDateForNamedInsured,Include Retroactive Date,CR7RetroDate,Retroactive Date: 12:01 AM on:
CR7Line,CR7IncludeRetroDateForNamedInsured,Include Retroactive Date,CR7NamedInsured,Named Insured:
CR7Line,CR7IncludeRetroDateForNamedInsured,Include Retroactive Date,CR7JointInsured,Joint Insured(s):
CR7Line,CR7GFFIncludeExpensesIncurredToEstablishAmountOfCo,Include Expenses Incurred To Establish Amount Of Covered Loss,CR7EmplTheftInsgAgrmtApplies4,Employee Theft Insuring Agreement
CR7Line,CR7CFFChangeScheduleLossSustainedForm,Change Schedule (Loss Sustained Form),NA,NA
CR7Line,CR7WaiveActsCommittedByEmplsOrERISAPlanOfficialsBe,Waive Acts Committed By Employees Or ERISA Plan Officials Below An Amount,CR7WaiverAmount1,Waiver Amount:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7MailingAddress2,The Mailing Address is changed to:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7DeletedInsured2,The following Insured(s) is deleted as a Named Insured(s):
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7NameInsured2,The Named Insured is changed to:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7Date1,Date:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7ChangeNumber2,Change Number
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7AddedInsured2,The following Insured(s) is added as a Named Insured(s):
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7DateOfIssue2,Date Of Issue
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7Title2,Title:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7EffectiveDateOfChange2,Effective Date Of Change 12:01 AM on:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7ReducedTo2,Reduced to: 12:01 AM at the Insured's mailing address
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7Signature1,Signature:
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7ExtendedTo2,Extended to: 12:01 AM at the Insured's mailing address
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7Name2,Name (Print):
CR7Line,CR7PolicyChangeLossSustainedForm,Policy Change (Loss Sustained Form),CR7FirstNamedInsured2,First Named Insured:
CR7Line,CR7GFCompAndFundsTransferFraud,Computer And Funds Transfer Fraud,CR7Limit350,Limit
CR7Line,CR7GFCompAndFundsTransferFraud,Computer And Funds Transfer Fraud,CR7VaryingDedApplies72,Varying Deductible Applies
CR7Line,CR7GFCompAndFundsTransferFraud,Computer And Funds Transfer Fraud,CR7Ded336,Deductible
CR7Line,CR7CCSafeDepository,Safe Depository,NA,NA
CR7Line,CR7ChangeExtddPeriodToDiscoverLoss,Change Extended Period To Discover Loss,CR7BasePremium,Annual Company Premium
CR7Line,CR7ChangeExtddPeriodToDiscoverLoss,Change Extended Period To Discover Loss,CR7NumDays2,Number Of Days:
CR7Line,CR7CFIncludePartnersAsEmpls,Include Partners As Employees,CR7TotNumPartners1,Total Number Of Partners
CR7Line,CR7GFFIncludeVirtualCurrencyAsMoneyEmpTheft,Include Virtual Currency As Money: Employee Theft,CR7Limit629,Virtual Currency Limit Of Insurance:
CR7Line,CR7CCOutsideThePremises,Outside The Premises,CR7Limit309,Limit
CR7Line,CR7CCOutsideThePremises,Outside The Premises,CR7Ded311,Deductible
CR7Line,CR7CCOutsideThePremises,Outside The Premises,CR7VaryingDedApplies47,Varying Deductible Applies
CR7Line,CR7GFFIncludeExpensesIncurredToEstablishAmountOfC1,Include Expenses Incurred To Establish Amount Of Covered Loss: Employee Theft,CR7CovrdLoss7,Covered Loss %
CR7Line,CR7GFFIncludeExpensesIncurredToEstablishAmountOfC1,Include Expenses Incurred To Establish Amount Of Covered Loss: Employee Theft,CR7Limit636,Limit Of Insurance
CR7Line,CR7CFRuralUtilitiesServiceJointInsured,Rural Utilities Service Joint Insured,NA,NA
CR7Line,CR7CFFForgeryOfNegotiableInstruments,Forgery Of Negotiable Instruments,CR7VaryingDedApplies50,Varying Deductible Applies
CR7Line,CR7CFFForgeryOfNegotiableInstruments,Forgery Of Negotiable Instruments,CR7Limit316,Limit
CR7Line,CR7CFFForgeryOfNegotiableInstruments,Forgery Of Negotiable Instruments,CR7Ded314,Deductible
CR7Line,CR7CFFEmplTheftNameOrPosSchedule,Employee Theft - Name Or Position Schedule,NA,NA
CR7Line,CR7GFFIncludeCompSoftwareContractorsAsEmpls,Include Computer Software Contractors As Employees,NA,NA
CR7Line,CR7CFFIncludeChairpersonAndMembersOfSpecifiedCommi,Include Chairperson And Members Of Specified Committees As Employees,NA,NA
CR7Line,CR7GFDestructionOfElectrDataOrCompProgramsByEmpls,Destruction Of Electronic Data Or Computer Programs By Employees,CR7Limit351,Limit
CR7Line,CR7GFDestructionOfElectrDataOrCompProgramsByEmpls,Destruction Of Electronic Data Or Computer Programs By Employees,CR7VaryingDedApplies73,Varying Deductible Applies
CR7Line,CR7GFDestructionOfElectrDataOrCompProgramsByEmpls,Destruction Of Electronic Data Or Computer Programs By Employees,CR7Ded337,Deductible
CR7Line,CR7CFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7Ded318,Deductible
CR7Line,CR7CFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7Limit325,Limit
CR7Line,CR7CFEmplTheftOfClientsProperty,Employee Theft Of Clients' Property,CR7VaryingDedApplies54,Varying Deductible Applies
CR7Line,CR7GFExcludeSpecifiedProperty,Exclude Specified Property,NA,NA
CR7Line,CR7GFFExcludeDesignatedPersonsOrClassesOfPersonsAs,Exclude Designated Persons Or Classes Of Persons As Employees,NA,NA
CR7Line,CR7ExcCancellationOfCrimeNonLiability_Ext,Cancellation of Crime Non-Liability Coverage Section Endorsement,NA,NA
CR7Line,CR7CFFAddBlanketExcessLimitOfInsForSpecifiedJointI,Add Blanket Excess Limit Of Insurance For Specified Joint Insured(s),NA,NA
CR7Line,CR7CCInsideThePremisesRobberyOfACustodianOrSafeBur,Inside The Premises - Robbery Of A Custodian Or Safe Burglary Of Money And Securities,CR7VaryingDedApplies41,Varying Deductible Applies
CR7Line,CR7CCInsideThePremisesRobberyOfACustodianOrSafeBur,Inside The Premises - Robbery Of A Custodian Or Safe Burglary Of Money And Securities,CR7Ded305,Deductible
CR7Line,CR7CCInsideThePremisesRobberyOfACustodianOrSafeBur,Inside The Premises - Robbery Of A Custodian Or Safe Burglary Of Money And Securities,CR7Limit303,Limit
CR7Line,CR7KidnapRansomExtortnExpensesIncurred,Kidnap/Ransom and Extortion - Expenses Incurred,CR7Limit60,Limit
CR7Line,CR7GCSecuritiesDepositedWithOthers,Securities Deposited With Others,NA,NA
CR7Line,CR7CCMoneyOrdersAndCounterfeitMoney,Money Orders And Counterfeit Money,CR7Ded310,Deductible
CR7Line,CR7CCMoneyOrdersAndCounterfeitMoney,Money Orders And Counterfeit Money,CR7Limit308,Limit
CR7Line,CR7CCMoneyOrdersAndCounterfeitMoney,Money Orders And Counterfeit Money,CR7VaryingDedApplies46,Varying Deductible Applies
CR7Line,CR7CCIncludeCovrdPropertyInCustodyInsideRobberyOfA,Include Covered Property In Custody Of Designated Agents: Inside The Premises - Robbery Of A Custodian Or Safe Burglary Of Money And Securities,NA,NA
CR7Line,CR7GFExtortionGovEntities,Extortion - Government Entities,NA,NA
CR7Line,CR7GFIncludeVirtualCurrencyAsMoney,Include Virtual Currency As Money,CR7EmplTheftInsgAgrmtApplies7,Employee Theft Insuring Agreement
CR7Line,CR7GFIncludeVirtualCurrencyAsMoney,Include Virtual Currency As Money,CR7CompFundsTransferFraudInsgAgrmtApplies3,Computer And Funds Transfer Fraud Insuring Agreement
CR7Line,CR7ExperienceRatingModificationYear1,Experience Rating Modification Year 1,CR7ERPTotalYear1IncludedLmtdLosses,Year 1: Included Limited Losses
CR7Line,CR7ExperienceRatingModificationYear1,Experience Rating Modification Year 1,CR7ERPYr1CoSubjectExpectedLostCostOverride,Year 1: Annual Company Expected Loss Cost Override
CR7Line,CR7ExperienceRatingModificationYear1,Experience Rating Modification Year 1,CR7ERPYear1AnnualCoPremium,Year 1: Annual Company Premium
CR7Line,CR7ExperienceRatingModificationYear3,Experience Rating Modification Year 3,CR7ERPYear3AnnualCoPremium,Year 3: Annual Company Premium
CR7Line,CR7ExperienceRatingModificationYear3,Experience Rating Modification Year 3,CR7ERPYr3CoSubjectExpectedLostCostOverride,Year 3: Annual Company Expected Loss Cost Override
CR7Line,CR7ExperienceRatingModificationYear3,Experience Rating Modification Year 3,CR7ERPTotalYear3IncludedLmtdLosses,Year 3: Included Limited Losses
CR7Line,CR7ExperienceRatingModificationYear2,Experience Rating Modification Year 2,CR7ERPTotalYear2IncludedLmtdLosses,Year 2: Included Limited Losses
CR7Line,CR7ExperienceRatingModificationYear2,Experience Rating Modification Year 2,CR7ERPYear2AnnualCoPremium,Year 2: Annual Company Premium
CR7Line,CR7ExperienceRatingModificationYear2,Experience Rating Modification Year 2,CR7ERPYr2CoSubjectExpectedLostCostOverride,Year 2: Annual Company Expected Loss Cost Override
CR7Line,CR7WaiverOfChangeInCtrlEndoCond_Ext,Waiver of Change in Control Endorsement,CR7WaiverOfChangeInCtrlEndoCondEvent_Ext,Event
CR7Line,CR7CFFIncludeDesignatedPersonsOrClassesOfPersonsAs,Include Designated Persons Or Classes Of Persons As Employees,NA,NA
