LOB,CoverageCode,CoverageName
CP7Line,CP7SpecialClassLimitationOnLossSettlementBlanketIn,Limitation On Loss Settlement - Blanket Insurance (Margin Clause)
CP7Line,CP7MultipleFixedDollarDedFormResidentialRisksBuild,Florida - Multiple Fixed Dollar Deductible Form (Residential Risks)
CP7Line,CP7FloodCovEndorsement,Flood Coverage Endorsement
CP7Line,CP7ManufacturersSellingPriceFinishedStockOnly,"Manufacturer's Selling Price (Finished Stock"" Only)"""
CP7Line,CP7StructureLimitationOnLossSettlementBlanketInsur,Limitation On Loss Settlement - Blanket Insurance (Margin Clause)
CP7Line,CP7CannabisCovBusinessIncome,Cannabis Coverage
CP7Line,CP7StatementOfValuesPrsnlProp,Statement Of Values
CP7Line,CP7WatercraftExcl,Watercraft Exclusion
CP7Line,CP7ChangesCondominiumsBuilding,Massachusetts Changes - Condominiums
CP7Line,CP7VandalismExclSpclClassBusnIncome,Vandalism Exclusion
CP7Line,CP7PropertyinCareCustody_Ext,"Property in Care, Custody and Control of Salesperson"
CP7Line,CP7BuildersRiskTheftOfBuildingMaterialsFixturesMac,"Builders Risk - Theft Of Building Materials, Fixtures, Machinery, Equipment"
CP7Line,CP7ChangesFieldActExclBusnIncome,"California Changes - Field Act"" Exclusion"""
CP7Line,CP7PersonalPropertyAgreedVal,Personal Property Agreed Value
CP7Line,CP7CannabisExclWithHempExceptionSpecialClass,Cannabis Exclusion With Hemp Exception
CP7Line,CP7WindstormOrHailExclDirectDamage,Windstorm Or Hail Exclusion - Direct Damage
CP7Line,CP7EquipBreakdownEnhanceEndorsement_Ext,Equipment Breakdown Enhancement Endorsement
CP7Line,CP7AmdmntValCondStock_Ext,Amendment Of Valuation Condition (âStockâ And Personal Property Of Others)
CP7Line,CP7NamedStormPercentageDedBuilding,North Carolina - Named Storm Percentage Deductible
CP7Line,CP7BusnPrsnlPropLmtdInternationalCov,Business Personal Property Limited International Coverage
CP7Line,CP7JointOrDisputedLossAgreementBusinessIncome,Joint Or Disputed Loss Agreement
CP7Line,CP7CauseOfLossLmtdEarthquakeEndorsementCAResident5,Cause Of Loss - Limited Earthquake Endorsement - California (Residential Property - Lessor's Risk)
CP7Line,CP7FoodContaminationBusinessInterruptionAndExtraE5,Food Contamination (Business Interruption and Extra Expense) Food Only Coverage
CP7Line,CP7EquipBreakdownCauseOfLossBldgEBCov,Equipment Breakdown Cause Of Loss Coverage
CP7Line,CP7EQSubLimitBlanketRating,Earthquake And Volcanic Eruption Sub Limit Blanket Rating
CP7Line,CP7OutdoorSigns_Ext,Outdoor Signs
CP7Line,CP7FoodContaminationBusinessInterruptionAndExtraE3,Food Contamination (Business Interruption and Extra Expense) Food Only Coverage
CP7Line,CP7OrdinanceLawDemolitionCost_Ext,Ordinance or Law: Demolition Cost and Increased Cost of Construction
CP7Line,CP7FoodContaminationBusinessInterruptionAndExtraE4,Food Contamination (Business Interruption and Extra Expense) Additional Advertising Coverage
CP7Line,CP7FoodContaminationBusinessInterruptionAndExtraE1,Food Contamination (Business Interruption And Extra Expense)
CP7Line,CP7PersonalPropertyTobaccoSalesWarehouses,Personal Property Tobacco Sales Warehouses
CP7Line,CP7FoodContaminationBusinessInterruptionAndExtraE2,Food Contamination (Business Interruption and Extra Expense) Additional Advertising Coverage
CP7Line,CP7ExpandedLmtsOnLossPayment,Expanded Limits On Loss Payment
CP7Line,CP7NonOwnedDetachedTrailers_Ext,Non-Owned Detached Trailers
CP7Line,CP7PersonalPropertyInflationGuard,Personal Property Inflation Guard
CP7Line,CP7DistilledSpiritsAndWinesMarketValue,Distilled Spirits And Wines Market Value
CP7Line,CP7WindstormOrHailExclSpclClassBusnIncome,Windstorm Or Hail Exclusion
CP7Line,CP7ReportedAcquiredIncidentalLocationsSchedule_EXt,Reported - Acquired - Incidental Locations Schedule
CP7Line,CP7AdvCameraEquipEndor_Ext,Advantage - Cameras and Related Equipment Endorsement
CP7Line,CP7StatementOfValues,Statement Of Values
CP7Line,CP7CauseOfLossLmtdEarthquakeEndorsementCAResident3,Cause Of Loss - Limited Earthquake Endorsement - California (Residential Property - Lessor's Risk)
CP7Line,CP7CauseOfLossLmtdEarthquakeEndorsementCAResident4,Cause Of Loss - Limited Earthquake Endorsement - California (Residential Property - Lessor's Risk)
CP7Line,CP7MineSubsidenceAdditionalLivingExpenseStructure,Mine Subsidence Additional Living Expense Structure
CP7Line,CP7ApartDwellingCommercialCov_Ext,Commercial Property Extension Endorsement - Special Form - Apartment or Dwelling Owner or Commercial Lessor's Risk
CP7Line,CP7DischargeSewersDrainsSumps_Ext,"Discharge from Sewers, Drains or Sumps"
CP7Line,CP7BusinessIncomeChangesBeginningOfThePeriodOfRest,Business Income Changes - Beginning Of The Period Of Restoration
CP7Line,CP7BusinessIncomeFromDependentPropertiesLmtdFormSp,Business Income From Dependent Properties - Limited Form
CP7Line,CP7AdditionalCovrdPropertySpecialClass,Additional Covered Property
CP7Line,CP7UtilityServicesTimeElementSpclClassBusnIncome,Utility Services - Time Element
CP7Line,CP7FLHurricanePercentageDedResidentalRisks,Florida Calendar Year Hurricane Percentage Deductible (Residential Risks)
CP7Line,CP7PreservationofProperty_Ext,Preservation of Property
CP7Line,CP7ConsequentialLosstoStock_Ext,Consequential Loss to Stock
CP7Line,CP7BuildingGlassTenantsPolicy,Building Glass - Tenant's Policy
CP7Line,CP7ZzDisclosurePursuantToTerrRiskInsAct2002,Disclosure Pursuant To Terrorism Risk Insurance Act
CP7Line,CP7BusinessIncomeAndOrExtraExpnCovForY2KCompReltdA,Business Income And/Or Extra Expense Coverage For Year 2000 Computer-Related And Other Electronic Problems
CP7Line,CP7UnscheduledBuildingPropertyTenantsPolicy,Unscheduled Building Property Tenant's Policy
CP7Line,CP7LegalLiabCovForm,Legal Liability Coverage Form
CP7Line,CP7MoltenMaterialPrsnlProp,Molten Material
CP7Line,CP7BurglaryAndRobberyProtectiveSafeguards,Burglary And Robbery Protective Safeguards
CP7Line,CP7BuildersRiskPremiumAdjustmentForm,Builders' Risk Premium Adjustment Form
CP7Line,CP7ElectrCommerceLossOfBusinessIncomeCov,Electronic Commerce (E-Commerce) Loss Of Business Income Coverage
CP7Line,CP7NewlyAcquiredOrConstructedProperty_Ext,Newly Acquired Or Constructed Property
CP7Line,CP7FoundationsandUndergroundPipesFluesDrains_Ext,"Foundations and Underground Pipes, Flues, or Drains"
CP7Line,CP7TheftofPatternsDiesMolds_Ext,"Theft of Patterns, Dies, Molds and Forms"
CP7Line,CP7BuildGlassTenPol_Ext,Building Glass â Tenantâs Policy
CP7Line,CP7AdditionalCovrdProperty,Additional Covered Property
CP7Line,CP7ExtraExpenseFromDependentPropertiesLmtdInternat,Extra Expense From Dependent Properties Limited International Coverage
CP7Line,CP7BusnIncomeFromDependentPropertiesLmtdInternatio,Business Income From Dependent Properties Limited International Coverage
CP7Line,CP7PierAndWharfAdditionalCovrdCausesOfLoss,Pier And Wharf Additional Covered Causes Of Loss
CP7Line,CP7FloodCovEndorsementSpclClassBusnIncome,Flood Coverage Endorsement
CP7Line,CP7ChangesAttorneysFees,Alaska Changes - Attorney's Fees
CP7Line,CP7Spoilage,Spoilage Coverage
CP7Line,CP7TheftExclSpclClassBusnIncome,Theft Exclusion
CP7Line,CP7JointOrDisputedLossAgreementSpecialClassBusines,Joint Or Disputed Loss Agreement
CP7Line,CP7ExclAdvPipesFluesDrains_Ext,"Advantage Foundations, Underground Pipes, Flues and Drains"
CP7Line,CP7ElectrCommerce,Electronic Commerce (E-Commerce)
CP7Line,CP7MinnesotaReplacementCostPersProp_Ext,Minnesota Changes - Replacement Cost Personal Property
CP7Line,CP7EarthquakeAndVolcanicEruptionEndorsementSpclCla,Earthquake And Volcanic Eruption Coverage With Percentage Deductible
CP7Line,CP7BreweryPropertyEnhancementCoverage_Ext,Brewery Property Enhancement
CP7Line,CP7JointOrDisputedLossAgreement,Joint Or Disputed Loss Agreement
CP7Line,CP7FunWetDryRotBacteriaExcl_Ext,"Fungus, Wet Rot, Dry Rot and Bacteria"
CP7Line,CP7MultipleDedFormFixedDollarDedsSpecialClass,Multiple Deductible Form (Fixed Dollar Deductibles)
CP7Line,CP7ChangesMineSubsidence,Indiana Changes - Coal Mine Subsidence
CP7Line,CP7RadioOrTelevisionAntennas,Radio Or Television Antennas
CP7Line,CP7DedNamedStorm_Ext,Deductible - Named Storm
CP7Line,CP7WaiverofCoinsurance_Ext,Waiver of Coinsurance
CP7Line,CP7AmendmentOfTerrExclOrSubLimitCommercialResident,Arizona - Amendment Of Terrorism Exclusion Or Sub-Limit (Commercial Residential Property)
CP7Line,CP7BusinessIncomePremiumAdjustmentForm,Business Income Premium Adjustment
CP7Line,CP7WatercraftExclSpecialClass,Watercraft Exclusion
CP7Line,CP7AdvSpclClsBIExtraExp_Ext,Advantage Business Income and Extra Expense Endorsement
CP7Line,CP7CannabisExclBusinessIncome,Cannabis Exclusion
CP7Line,CP7LmtdCovForUnmannedAircraftScheduledAndOrBlanket,Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)
CP7Line,CP7HouseholdPersonalProperty,Household Personal Property Coverage
CP7Line,CP7LossPayableProvisionsSpecialClass,Loss Payable Provisions
CP7Line,CP7RadioOrTelevisionAntennasSpecialClass,Radio Or Television Antennas
CP7Line,CP7HurricanePercentageDedBuilding,Mississippi Hurricane Percentage Deductible
CP7Line,CP7NonOwnedDetachTrailers_Ext,Non-Owned Detached Trailers
CP7Line,CP7PierAndWharfAdditionalCovrdCausesOfLossSpecialC,Pier And Wharf Additional Covered Causes Of Loss
CP7Line,CP7ExpeditingExpenses_Ext,Expediting Expenses
CP7Line,CP7TheftofStampsTicketsHeldforSale_Ext,Theft of Stamps - Tickets Held for Sale
CP7Line,CP7AdvantageRestBusinessIncomeFromDependentProp_Ext, Advantage Restaurant Business Income From Dependent Properties Endorsement
CP7Line,CP7AdditionalLocationsSpecialCoinsuranceGeneralInf,Additional Location - Special Coinsurance Provisions General Information
CP7Line,CP7TheftofFursFurGarments_Ext,"Theft of Furs, Fur Garments and Garments Trimmed in Fur"
CP7Line,CP7CaliforniaFuncPerProperty_Ext,California - Functional Personal Property Valuation Other Than Stock
CP7Line,CP7AmendDeduct_Ext,Amendment - Deductible (Including Allocated Loss Adjustment Expense)
CP7Line,CP7PeakSeasonLimitOfIns,Peak Season Limit Of Insurance
CP7Line,CP7NCChangesAdditionalCovrdPropertySpecialClass,North Carolina Changes - Additional Covered Property
CP7Line,CP7WindstormOrHailPercentageDedSpecialClass,Windstorm Or Hail Percentage Deductible
CP7Line,CP7TheftOutsideBuildExcl_Ext,Exclusion â Theft Outside Of Building
CP7Line,CP7LeaseholdInterImproveandBetterments_Ext,Leasehold Interest - Improvements and Betterments
CP7Line,CP7PollutantCleanUpAndRemovalAdditionalAggLimitOfI,Pollutant Clean Up And Removal Additional Aggregate Limit Of Insurance
CP7Line,CP7BusinessIncomeAgreedVal,Business Income Agreed Value
CP7Line,CP7SpecialClassAgreedVal,Special Class Agreed Value
CP7Line,CP7LossDataPreparationCost_Ext,Loss Data Preparation Cost
CP7Line,CP7ChangesCondominiumsOccupClass,Massachusetts Changes - Condominiums
CP7Line,CP7CompuptersSoftwareTelSystems_Ext,Computer and Telecommunications Equipment
CP7Line,CP7ChangesValuationStructure,South Carolina Changes - Valuation
CP7Line,CP7OutdoorFenceRadioTelAntenna_Ext,Outdoor Property: Outdoor fences and radio or television antennas (including satellite dishes)
CP7Line,CP7LmtdCovForUnmannedAircraftScheduledAndOrBlanke1,Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)
CP7Line,CP7LmtdCovForUnmannedAircraftScheduledAndOrBlanke3,Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)
CP7Line,CP7LmtdCovForUnmannedAircraftScheduledAndOrBlanke2,Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)
CP7Line,CP7LmtdCovForUnmannedAircraftScheduledAndOrBlanke4,Limited Coverage For Unmanned Aircraft (Scheduled And/Or Blanket Coverage)
CP7Line,CPOrdinanceAndLaw_Ext,Ordinance or Laws Coverage
CP7Line,CP7SpecialClassBusnIncome,Special Class Business Income
CP7Line,CP7BrokenOrCrackedGlassExcl,Broken Or Cracked Glass Exclusion Form
CP7Line,CP7BrandsLabels_Ext,Brands and Labels
CP7Line,CP7BusinessIncomeFromDependentPropertiesLmtdForm,Business Income From Dependent Properties - Limited Form
CP7Line,CP7SeasonalLeasesMonthlyLmtsOnLossPayment,Seasonal Leases - Monthly Limits On Loss Payment
CP7Line,CP7ChangesFieldActExclBuilding,"California Changes - Field Act"" Exclusion"""
CP7Line,CP7LocationNewlyAcquiredLocationTimeElement,Location Newly Acquired Location Time Element
CP7Line,CP7PostTRIA,Post TRIA
CP7Line,CP7OtherDeductibles_Ext,Other Deductibles
CP7Line,CP7DischargeFromSewerDrainOrSumpNotFloodReltdBusnI,"Discharge From Sewer, Drain Or Sump (Not Flood-Related)"
CP7Line,CP7PropOffPremInTransit_Ext,Property Off - Premises and In Transit (including Client or Virtual Office Premises)
CP7Line,CP7ExclRoofCosmeticDamage_Ext,Exclusion - Cosmetic Damage to Roof Coverings
CP7Line,CP7PowerHeatAndRefrigerationDeductionSpclClassBusn,"Power, Heat And Refrigeration Deduction"
CP7Line,CP7MnthRprtLocSpcl_Ext,Monthly Report of Locations Special Conditions
CP7Line,CP7LocationRemediationForReleaseOfHeatingOilPollut,Location Remediation For Release Of Heating Oil Pollutant Clean Up Credit
CP7Line,CP7BusinessIncomeChangesBeginningOfThePeriodOfRes1,Business Income Changes - Beginning Of The Period Of Restoration
CP7Line,CP7ForgeryAlteration_Ext,Forgery or Alteration
CP7Line,CP7DischargeFromSewerDrainOrSumpNotFloodReltdSpclC,"Discharge From Sewer, Drain Or Sump (Not Flood-Related)"
CP7Line,CP7PersonalEffectsPropOthers_Ext,Personal Effects of Others
CP7Line,CP7WindstormProtectiveDevices,Windstorm Protective Devices
CP7Line,CP7AKExclOfTerrEndorsement,Alaska - Exclusion Of Terrorism
CP7Line,CP7OutdoorProperty_Ext,Outdoor Property
CP7Line,CP7DischargeFromSewerDrainOrSumpNotFloodReltdSpcl1,"Discharge From Sewer, Drain Or Sump (Not Flood-Related)"
CP7Line,CP7CyberIncidentExcl,Cyber Incident Exclusion
CP7Line,CP7ExtraExpnCovForY2KCompReltdAndOtherElectrProbBu,Extra Expense Coverage For Year 2000 Computer-Related And Other Electronic Problems - Virginia
CP7Line,CP7PollutantCleanUpandRemoval_Ext,Pollutant Clean Up and Removal
CP7Line,CP7EqpmntBrkdwnDedctblAndLimtExcptnCvg_Ext,Equipment Breakdown Deductible And Limits Exceptions Coverage
CP7Line,CP7BuildersRiskReportingForm,Builders Risk Reporting Form
CP7Line,CP7RadioactiveContaminationPrsnlProp,Radioactive Contamination
CP7Line,CP7MoltenMaterial,Molten Material
CP7Line,CP7NonOwnedDetTra_Ext,Non-Owned Detached Trailers
CP7Line,CP7AdvBldgBIExtraExp_Ext,Advantage Business Income and Extra Expense Endorsement
CP7Line,CP7BusinessIncomeFromDependentPropertiesBroadFormS,Business Income From Dependent Properties - Broad Form
CP7Line,CP7FLSpecialDutiesAfterLossMaintenanceOfReceiptsAn,Florida Special Duties After Loss - Maintenance Of Receipts And Other Records Of Loss Below The Hurricane/Windstorm Deductible
CP7Line,CP7DedsByLocationBldg,Deductibles By Location
CP7Line,CP7RadioactiveContaminationSpclClassBusnIncome,Radioactive Contamination
CP7Line,CP7IncreasedCostOfLossAndReltdExpensesForGreenUpg1,Increased Cost Of Loss And Related Expenses For Green Upgrades
CP7Line,CP7FloodCovEndtLocation,Flood Coverage General Information
CP7Line,CP7ExclOfCosmeticDamageToRoofSurfacing,Wyoming Exclusion Of Cosmetic Damage To Roof Surfacing
CP7Line,CP7IncreasedCostOfLossAndReltdExpensesForGreenUpg4,Increased Cost Of Loss And Related Expenses For Green Upgrades
CP7Line,CP7ChangesResidentialCondominiumAssociationsOccupC,Florida Changes - Residential Condominium Associations
CP7Line,CP7IncreasedCostOfLossAndReltdExpensesForGreenUpg2,Increased Cost Of Loss And Related Expenses For Green Upgrades
CP7Line,CP7UtilityServicesDirectDamageSpecialClass,Utility Services - Direct Damage
CP7Line,CP7IncreasedCostOfLossAndReltdExpensesForGreenUpg3,Increased Cost Of Loss And Related Expenses For Green Upgrades
CP7Line,CP7EarthquakeAndVolcanicEruptionEndorsement,Earthquake And Volcanic Eruption Coverage With Percentage Deductible
CP7Line,CP7LossPayableProvisionsWA_Ext,Loss Payable Provisions - Washington
CP7Line,CP7VandalismExclBusnIncome,Vandalism Exclusion
CP7Line,CP7HIHurricaneExclBldg,Hawaii - Hurricane Exclusion
CP7Line,CP7ValueReportingFormGeneralInformation,Value Reporting Form General Information
CP7Line,CP7MobileFoodVendor_Ext,Mobile Food Vendors Enhancement
CP7Line,CP7UtilityServicesDirectDamageBldg,Utility Services - Direct Damage
CP7Line,CP7EarthquakeAndVolcanicEruptionCovSubLimitFormWi4,Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)
CP7Line,CP7EarthquakeAndVolcanicEruptionCovSubLimitFormWi1,Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)
CP7Line,CP7EarthquakeAndVolcanicEruptionCovSubLimitFormWi2,Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)
CP7Line,CP7EarthquakeAndVolcanicEruptionCovSubLimitFormWi3,Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)
CP7Line,CP7NotificationToPolicyholdersClaims,Notification To Policyholders - Claims
CP7Line,CP7SpecialClassInflationGuard,Special Class Inflation Guard
CP7Line,CP7CannabisExclSpecialClassBusinessIncome,Cannabis Exclusion
CP7Line,CP7BuildersRiskSeparateOrSubContractorsExcl,Builders Risk - Separate Or Sub-Contractor's Exclusion
CP7Line,CP7BlanketRating,Blanket Insurance
CP7Line,CP7RadioOrTelevisionAntennasBusinessIncomeOrExtraE,Radio Or Television Antennas - Business Income Or Extra Expense
CP7Line,CP7PierAndWharfAdditionalCovrdCausesOfLossSpclClas,Pier And Wharf Additional Covered Causes Of Loss
CP7Line,CP7BldgSprinklerLimitation_Ext,Limitation Sprinkler
CP7Line,CP7BldgVandalismLimitation_Ext,Limitation Vandalism
CP7Line,CP7CannabisExclusion_Ext,Vermont - Cannabis Exclusion
CP7Line,CP7MineSubsidenceAdditionalLivingExpense,Mine Subsidence Additional Living Expense
CP7Line,CP7CondExclOfTerrEndorsementIL0995,Conditional Exclusion Of Terrorism (Relating To Disposition Of Federal Terrorism Risk Insurance Act)
CP7Line,CP7EquipBreakdownCauseOfLossBldgAmmoniaContaminati,Equipment Breakdown Cause Of Loss Ammonia Contamination Coverage
CP7Line,CP7RadioOrTelevisionAntennasBusinessIncomeOrExtra1,Radio Or Television Antennas - Business Income Or Extra Expense
CP7Line,CP7SinkholeLossCov_Ext,Florida - Sinkhole Loss Coverage
CP7Line,CP7CaliforniaOrdinanceAndLaw_Ext,California - Ordinance or Law Coverage
CP7Line,CP7BuildersRiskCollapseDuringConstruction,Builders Risk - Collapse During Construction
CP7Line,CP7IncreasedBldgLimit_Ext,Increased Building Limit Endorsement
CP7Line,CP7OutsideSignsSpecialClass,Outdoor Signs
CP7Line,CP7WindstormHailDedFixed_Ext,Windstorm Or Hail Deductible (Fixed Dollar Amount)
CP7Line,CP7VacancyChanges,Vacancy Changes
CP7Line,CP7HigherLmts,Higher Limits
CP7Line,CP7EffectiveTimeChangesReplacementOf12Noon,Effective Time Changes - Replacement Of 12 Noon
CP7Line,CP7LegalLiabCovFormOccupClass,Legal Liability Coverage Form
CP7Line,CP7BusinessIncomePremiumAdjustmentFormSpclClassBus,Business Income Premium Adjustment
CP7Line,CP7AdditionalLocationsSpecialCoinsuranceProvisions,Additional Locations - Special Coinsurance Provisions
CP7Line,CP7RadioactiveContaminationSpecialClass,Radioactive Contamination
CP7Line,CP7ExtraExpenseFromDependentPropertiesSpclClassBus,Extra Expense From Dependent Properties
CP7Line,CP7BusIncSpcClsAndExtraExpnCovForY2KCompReltdAndOt,Business Income And Extra Expense Coverage For Year 2000 Computer-Related And Other Electronic Problems - Virginia
CP7Line,CP7VacancyChangesPrsnlProp,Vacancy Changes
CP7Line,CP7FireDeptServiceCharge_Ext,Fire Department Service Charge
CP7Line,CP7PolicyChanges,Policy Changes
CP7Line,CP7IncreasedCostOfLossAndReltdExpensesForGreenUpgr,Increased Cost Of Loss And Related Expenses For Green Upgrades
CP7Line,CP7ExclCertfdActsTerrsmNuclearBiolgclChmclCapCovCe,"Alaska - Excl Of Certfd Acts Of Terrsm Involving Nuclear Biolgcl, Chmcl Or Radiolgcl Terrsm; Cap On Covered Certfd Acts Losses"
CP7Line,CP7EarthquakeAndVolcanicEruptionCovWithFlatDollar1,Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible
CP7Line,CP7GasolinePumpExcl_Ext,Exclusion â Undescribed Gasoline Pumps And Related Equipment
CP7Line,CP7TheftDamagetoLeasedBuildings_Ext,Theft Damage to Leased Buildings
CP7Line,CP7WVFireAndCasualtySurcharges_Ext,Fire and Casualty Surcharge
CP7Line,CP7PersonalPropertySpecialCOLPatternsDiesMoldsAndF,Personal Property Special COL Patterns Dies Molds And Forms
CP7Line,CP7EarthquakeAndVolcanicEruptionCovSubLimitFormWit,Earthquake And Volcanic Eruption Coverage (Sub-Limit Form With Flat-Dollar Deductible)
CP7Line,CP7NewlyAcquiredOrConstructedPropertyIncreasedLimi,Newly Acquired Or Constructed Property - Increased Limit
CP7Line,CP7DebrisRemovalAdditionalInsurance,Debris Removal Additional Insurance
CP7Line,CP7CondLmtnOfCovForTerrsmSubLimitOnAnnualAggBasisI,Conditional Limitation Of Coverage For Terrorism - Sub-Limit On Annual Aggregate Basis (Relating To Disposition Of Federal TRIA)
CP7Line,CP7MinnesotaChangesReplcementCost_Ext,Minnesota Changes - Replacement Cost Personal Property
CP7Line,CP7AmdmntCondOtherIns_Ext,Amendment Of Conditions - Other Insurance
CP7Line,CP7ZzDisclosurePursuantToTerrRiskInsAct2002_Ext,Disclosure Pursuant To Terrorism Risk Insurance Act
CP7Line,CP7BusinessIncomeInterruptionOfCompOps,Business Income Interruption Of Computer Operations
CP7Line,CP7WestVAChangesCancellationAndNonrenewal,West Virginia - Cancellation And Nonrenewal
CP7Line,CP7DeductWindstrmOrHailPer_Ext,Deductible - Windstorm or Hail Percentage (Subject to Minimum Deductible Amount)
CP7Line,CP7WindstormLossMitigationCov,Windstorm Loss Mitigation Credit
CP7Line,CP7EarthquakeAndVolcanicEruptionCovWithFlatDollarD,Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible
CP7Line,CP7MoltenMaterialBusnIncome,Molten Material
CP7Line,CP7PersonalPropertySpecialCOLStampsTicketsAndLette,Personal Property Special COL Stamps Tickets And Letters Of Credit
CP7Line,CP7EarthquakeAndVolcanicEruptionEndorsementSpecial,Earthquake And Volcanic Eruption Coverage With Percentage Deductible
CP7Line,CP7EarthquakeAndVolcanicEruptionCovWithFlatDollar4,Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible
CP7Line,CP7SinkholeCollapseExcl_Ext,Exclusion â Sinkhole Collapse
CP7Line,CP7EarthquakeAndVolcanicEruptionCovWithFlatDollar2,Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible
CP7Line,CP7EarthquakeAndVolcanicEruptionCovWithFlatDollar3,Earthquake And Volcanic Eruption Coverage With Flat-Dollar Deductible
CP7Line,CP7LendersLossPayableEndorsementBuilding,Lenders Loss Payable Endorsement
CP7Line,CP7AKExclCertfdActsTerrsm,Alaska - Exclusion Of Certified Acts Of Terrorism
CP7Line,CP7IDLimitationCovForTerrSubLimitOnAnnualAggregiat,Idaho - Limitation Of Coverage For Terrorism - Sub-Limit On Annual Aggregate Basis
CP7Line,CP7StructureInflationGuard,Structure Inflation Guard
CP7Line,CP7PersonalPropertyPrsnlProp,Personal Property
CP7Line,CP7OrdinanceorLaw_Ext,Ordinance or Law
CP7Line,CP7FloodCovEndorsementSpecialClass,Flood Coverage Endorsement
CP7Line,CP7EarthquakeAndVolcanicEruptionEndorsementBusnInc,Earthquake And Volcanic Eruption Coverage With Percentage Deductible
CP7Line,CP7BrandsAndLabels,Brands And Labels
CP7Line,CP7MinnesotaChangesFunctionalBuild_Ext,Minnesota Changes - Functional Building Valuation
CP7Line,CP7RewardPayment_Ext,Reward Payment
CP7Line,CP7BusinessIncChngsTimePer_Ext,Business Income Changes - Time Period
CP7Line,CP7ChangesCommercialUnitsInResidentialCondominium1,Florida Changes - Commercial Units In Residential Condominiums
CP7Line,CP7AddCondExcLocDoor_Ext,Additional Conditions And Exclusions - Locked Door And Show Window Theft Protection
CP7Line,CP7ChangesCommercialUnitsInResidentialCondominium2,Florida Changes - Commercial Units In Residential Condominiums
CP7Line,CP7DiscretionaryPayrollExpenseSpclClassBusnIncome,Discretionary Payroll Expense
CP7Line,CP7DebrisRemovalAdditionalInsuranceSpecialClass,Debris Removal Additional Insurance
CP7Line,CP7TheftExclBusnIncome,Theft Exclusion
CP7Line,CP7SeasonalLeasesMonthlyLmtsOnLossPaymentSpclClass,Seasonal Leases - Monthly Limits On Loss Payment
CP7Line,CP7ChangesCommercialUnitsInResidentialCondosInclud,Florida Changes - Commercial Units In Residential Condominiums - Standard Property Policy
CP7Line,CP7LocationFireDepartmentCharge,Location Fire Department Charge
CP7Line,CP7ExclOfLossDueToByProdsOfProductionORProcessingO,Exclusion Of Loss Due To By-Products Of Production Or Processing Operations (Rental Properties)
CP7Line,CP7ExpandedLmtsOnLossPaymentSpclClassBusnIncome,Expanded Limits On Loss Payment
CP7Line,CP7DischargeFromSewerDrainOrSumpNotFloodReltd,"Discharge From Sewer, Drain Or Sump (Not Flood-Related)"
CP7Line,CP7WindstormOrHailExteriorPaintAndWaterproofingExc,North Carolina Windstorm Or Hail Exterior Paint And Waterproofing Exclusion
CP7Line,CP7WashingtonCondominiumAddLProvisions_Ext,Washington Changes - Condominium Additional Provisions
CP7Line,CP7EquipBrkdwnDeductLmtExcpt_Ext,Equipment Breakdown Deductible and Limits Exceptions Schedule
CP7Line,CP7AgriculturalProdsStorage,Agricultural Products Storage
CP7Line,CP7HigherLmtsPersonalProperty,Higher Limits
CP7Line,CP7JanitorialEquipToolsSupplies_Ext,"Janitorial Equipment, Tools and Supplies"
CP7Line,CP7LossPayableProvisions,Loss Payable Provisions
CP7Line,CP7BusinessIncomeSpcClsAndExtraExpnCovForY2KCompRe,Business Income And Extra Expense Coverage For Year 2000 Computer-Related And Other Electronic Problems - Virginia
CP7Line,CP7ResidentAgentCountersignatureEndorsement,Resident Agent Countersignature Endorsement
CP7Line,CP7MiningPropertiesSpclClassBusnIncome,Mining Properties - Business Income
CP7Line,CP7BusinessIncomeWatercraftExclBuyback,Business Income Watercraft Exclusion Buyback
CP7Line,CP7InsuredsConsentToExcessRateFL,Insureds Consent To Excess Rate (Florida)
CP7Line,CP7MortgageeClausePersonalProperty,Mortgagee Clause
CP7Line,CP7OrdinanceOrLawCovStateBroadForm,Ordinance Or Law Coverage - Virginia (Broad Form)
CP7Line,CP7CondominiumCommercialUnitOwnersOptionalCovLossA,Condominium Commercial Unit Owners Optional Coverage Loss Assessment Coverage
CP7Line,CP7MultipleDedFormFixedDollarDeds,Multiple Deductible Form (Fixed Dollar Deductibles)
CP7Line,CP7WindstormOrHailDeductibleSC_Ext,Windstorm or Hail Deductible - South Carolina
CP7Line,CP7GrainPropertiesExplosionLimitation,Grain Properties - Explosion Limitation
